film,no,song,singer,lyricist,composer,duration
Melvilasam Sariyanu,3,"""Neelakuyile Odakkuzhaloothi Oothi Vaa""","Vidhu Prathap , Ajimol",,,
Melvilasam Sariyanu,4,"""Puzhapadum""",P. Jayachandran,,,
Melvilasam Sariyanu,5,"""Puzhapadum (D)""","P. Jayachandran , Sujatha Mohan",,,
Melvilasam Sariyanu,6,"""Thaazhampoo""","V. Devanand , Aparna Ramachandran",,,
Melvilasam Sariyanu,7,"""Thaazhvaaram""",Ranjini Jose,,,
Melvilasam Sariyanu,8,"""Thiruthaalathudi Venam""",K. L. Sreeram,,,
Melvilasam Sariyanu,9,"""Vadaamallippoovum""",Madhu Balakrishnan,,,
Menicheppu Thurannappol,1,"""Swargavaathil Thurannu""","Kamukara, Balagopalan Thampi, Janakidevi, Sindhu",Bichu Thirumala,,
Menicheppu Thurannappol,2,"""Swargavaathil Thurannu"" (Pathinezhu Valsarangal)","K. J. Yesudas , Janakidevi",Bichu Thirumala,,
Midumidukki,1,"""Akale Akale Neelakaasham""","K. J. Yesudas , S. Janaki",Sreekumaran Thampi,,
Midumidukki,2,"""Daivamevide""",K. J. Yesudas,Sreekumaran Thampi,,
Midumidukki,3,"""Kanakapratheekshathan""",P. Susheela,Sreekumaran Thampi,,
Midumidukki,4,"""Pineapple Poloru""",K. J. Yesudas,Sreekumaran Thampi,,
Midumidukki,5,"""Ponnum Tharivala""",K. J. Yesudas,Sreekumaran Thampi,,
Mili,,"""Kanmaniye"" (Female Version)",Minmini,Hari Narayanan,,
Mili,,"""Mili Mili Mili"" (Female Version)",Pavithra Menon,Hari Narayanan,,
Mili,,"""Engengo Engengo""",Gopi Sunder,Hari Narayanan,,
Mili,,"""Mili Mili Mili"" (Male Version)",Gopi Sunder,Hari Narayanan,,
Mili,,"""Manjupeyume""","Najim Arshad , Mridula Warrier",Hari Narayanan,,
Mili,,"""Kanmaniye"" (Male Version)",Gopi Sunder,Hari Narayanan,,
Mili,,"""Manpatha Neettunna""",Shaan Rahman,Hari Narayanan,,
Mili,,"""Mili Theme Song""",Gopi Sunder,Hari Narayanan,,
Millennium Stars,,"""O... Mumbai""","K. J. Yesudas , Vijay Yesudas","Gireesh Puthenchery , Tahir Faraz",,
Millennium Stars,,"""Parayaan Njan Marannu""","K. J. Yesudas, Hariharan , Vijay Yesudas, Sujatha Mohan (humming)","Gireesh Puthenchery, Tahir Faraz",,
Millennium Stars,,"""Krishna Krishna""","K. J. Yesudas, Vijay Yesudas",Poonthanam Nambudiri,,
Millennium Stars,,"""Kuku Kuku Theevandi""","Harikrishnan, Anand Kumar",Gireesh Puthenchery,,
Millennium Stars,,"""Maha Ganapathim""","K. J. Yesudas, Hariharan, Srinivas , Harish Raghavendra , Vijay Yesudas, Pushpa Raman, Chorus","Muthuswami Dikshitar , Tahir Faraz, Recardo Barrantes",,
Millennium Stars,,"""Shravan Gange""","K. J. Yesudas, Hariharan, Vijay Yesudas, Chorus","Gireesh Puthenchery, Tahir Faraz",,
Mimics Action 500,1,"""Chellappoo Chamayappoo""","Biju Narayanan , Chorus",Gireesh Puthenchery,,
Mimics Action 500,2,"""Mamalakkaranam""","Biju Narayanan, Pradeep",Gireesh Puthenchery,,
Mimics Action 500,3,"""Manimala Mettil""","K. S. Chithra , Biju Narayanan, Pradeep",Gireesh Puthenchery,,
Mimics Parade,1,"""Chellakkaattin Pallitheril""","Unni Menon , K. S. Chitra",,,
Mimics Parade,2,"""Nakshathram Minnunna""","Unni Menon , Krishnachandran",,,
Mindapennu,1,"""Ambaadippaithale""",S. Janaki,Yusufali Kechery,,
Mindapennu,2,"""Anuraagam Kannil""",K. J. Yesudas,Yusufali Kechery,,
Mindapennu,3,"""Anuraagam Kannil""",P. Susheela,Yusufali Kechery,,
Mindapennu,4,"""Inakkili Inakkili""",K. J. Yesudas,Yusufali Kechery,,
Mindapennu,5,"""Kandaal Nalloru""","P. Leela , Chorus",Yusufali Kechery,,
Mindapennu,6,"""Poomanimaarante Kovilil""",S. Janaki,Yusufali Kechery,,
Mindapennu,7,"""Premamennal""","L. R. Eeswari , C. .O Anto",Yusufali Kechery,,
Minimol Vathicanil,1,"""Aayiram Janmangal Venam""",K. J. Yesudas,Poovachal Khader,,
Minimol Vathicanil,2,"""Kunjikkannukal Thuranna""","S. Janaki , Chorus",Poovachal Khader,,
Minimol Vathicanil,3,"""Ninmizhiyum Enmizhiyum""","K. J. Yesudas, S. Janaki",Poovachal Khader,,
Minnaminuginum Minnukettu,1,"""Kunungi Kunungi""","K. J. Yesudas , Chorus",Gireesh Puthenchery,,
Minnaminuginum Minnukettu,2,"""Kunungikkunungi"" (f)",Sujatha Mohan,Gireesh Puthenchery,,
Minnaminuginum Minnukettu,3,"""Manjil Pootha""","M. G. Sreekumar , Swarnalatha",Gireesh Puthenchery,,
Minnaminuginum Minnukettu,4,"""Thankathamburuvo""",S. Janaki,Gireesh Puthenchery,,
Miss Mary,1,"""Aakaashathinte Chuvattil""","K. J. Yesudas , Chorus",Sreekumaran Thampi,,
Miss Mary,2,"""Gandharva Gaayakaa""",P. Leela,Sreekumaran Thampi,,
Miss Mary,3,"""Manivarnanillaatha""","P. Susheela , P. Jayachandran",Sreekumaran Thampi,,
Miss Mary,4,"""Neeyente Velicham""",P. Susheela,Sreekumaran Thampi,,
Miss Mary,5,"""Ponnambiliyude""","P. Susheela, P. Jayachandran",Sreekumaran Thampi,,
Miss Mary,6,"""Sangeethame""","S. Janaki , Ambili",Sreekumaran Thampi,,
Miss Mary,7,"""Sangeethame"" (Bit)","S. Janaki, Ambili",Sreekumaran Thampi,,
Miss Stella,1,"""Engine Fire Engine""",K. S. Chithra,Poovachal Khader,,
Miss Stella,2,"""Happy New Year""",K. S. Chithra,Poovachal Khader,,
Miss Stella,3,"""Kaiyyil Thenkinnam""",K. S. Chithra,Poovachal Khader,,
Missi,1,"""Anuraagam Anuraagam""",K. J. Yesudas,Madhu Alappuzha,,
Missi,2,"""Gangaa pravaahathil""",P. Jayachandran,Mankombu Gopalakrishnan,,
Missi,3,"""Harivamshaashtami""",P. Madhuri,Bharanikkavu Sivakumar,,
Missi,4,"""Kunkumasandhya""",P. Susheela,Mankombu Gopalakrishnan,,
Missi,5,"""Urangoo Onnurangoo""",P. Madhuri,Bichu Thirumala,,
Mission 90 Days,,Shaan hai thoo,Shalini Singh,"Sajath, Farhad","Sajath, Farhad",
Mission 90 Days,,Mizhineeru pozhiyumbozhum,Najim Arshad,Vayalar Sarathchandra Varma,Jaison J Nair,
Mizhi Randilum,1,"""Aalilathaaliyumaay""",P. Jayachandran,,,
Mizhi Randilum,2,"""Enthinaay Nin""",K. S. Chitra,,,
Mizhi Randilum,3,"""Omane""","K. J. Yesudas , Sujatha Mohan",,,
Mizhi Randilum,4,"""Omane"" (M)",K. J. Yesudas,,,
Mizhi Randilum,5,"""Vaarmazhaville""",K. S. Chitra,,,
Mizhi Randilum,6,"""Vaarmazhaville"" (M)",Srinivas,,,
Mizhikal Sakshi,,"""Amme Neeyoru""",,,,
Mizhikal Sakshi,,"""Chethiyum Chemparathi""",,,,
Mizhikal Sakshi,,"""Manjutharasree""",,,,
Mizhikal Sakshi,,"""Thazhampoo Thottilil""",,,,
Mochanam,1,"""Aadyavasantham Pole""",P. Madhuri,M. D. Rajendran,,
Mochanam,2,"""Malarambanezhuthiya""",P. Jayachandhran,M. D. Rajendran,,
Mochanam,3,"""Rahasyam Ithu Rahasyam""",P. Susheela,M. D. Rajendran,,
Mochanam,4,"""Malarambanarinjilla Madhumasa Marinjilla""",S.Janaki,M. D. Rajendran,,
Moham,1,"""Cheppo Cheppo""",P. Madhuri,P. Bhaskaran,,
Moham,2,"""Madanapushpavana Shalabhangale""",P. Madhuri,P. Bhaskaran,,
Moham,3,"""Vishaala Jeevitha""",K. J. Yesudas,P. Bhaskaran,,
Mohiniyaattam,1,"""Aaranmula Bhagavaante""",P. Jayachandran,Sreekumaran Thampi,,
Mohiniyaattam,2,"""Kanneeru Kandaal""",P. Madhuri,Sreekumaran Thampi,,
Mohiniyaattam,3,"""Radhika Krishna""",Mannur Rajakumaranunni,Jayadevar,,
Mohiniyaattam,4,"""Swanthamenna Padathinenthartham""",K. J. Yesudas,Sreekumaran Thampi,,
Monsoon Mangoes,1,"""Mangoes""","Rakesh Kishore, Jakes Bejoy, Udith",Jelu Jayaraj,,
Monsoon Mangoes,2,"""Rosie""","Shreya Ghoshal , Jakes Bejoy",Manoj Kuroor,,
Monsoon Mangoes,3,"""Asha""","Jagdish, Muhammed Aslam",Raqeeb Alam,,
Monsoon Mangoes,4,"""Naadinu""","Vijay Yesudas , The Elfa Choir",Manoj Kuroor,,
Monsoon Mangoes,5,"""Beete Din""","Abhishek Iyer, Mame Khan",Raqeeb Alam,,
Moodupadam,1,"""Ayalathe Sundari""","K. J. Yesudas , P. Leela",P. Bhaskaran,,
Moodupadam,2,"""Enthoru Thontharavu""",Mehboob,P. Bhaskaran,,
Moodupadam,3,"""Ithaanu Bhaaratha Dharani""","Chorus, Shantha P. Nair",P. Bhaskaran,,
Moodupadam,4,"""Maanathulloru""","Chorus, Latha Raju , Shantha P. Nair",P. Bhaskaran,,
Moodupadam,5,"""Madanappoovanam Vittu""","Chorus, Shantha P. Nair",P. Bhaskaran,,
Moodupadam,6,"""Mayilaanchithoppil""",M. S. Baburaj,Yusufali Kechery,,
Moodupadam,7,"""Pandente Muttathu""",K. J. Yesudas,P. Bhaskaran,,
Moodupadam,8,"""Seethapaharanam"" (Bit)",,P. Bhaskaran,,
Moodupadam,9,"""Thaliritta Kinaakkal""",S. Janaki,P. Bhaskaran,,
Moodupadam,10,"""Vattan Vilanjittum Varinellu""","P. Leela, Shantha P. Nair",P. Bhaskaran,,
Moodupadam,11,"""Vennilaavudichappol""",Shantha P. Nair,P. Bhaskaran,,
Mooladhanam,1,"""Ente Veenakambiyellaam""",K. J. Yesudas,P. Bhaskaran,,
Mooladhanam,2,"""Olichu Pidichu""",P. Susheela,P. Bhaskaran,,
Mooladhanam,3,"""Oro Thullichorayil""","K. J. Yesudas, C. O. Anto , Venu",P. Bhaskaran,,
Mooladhanam,4,"""Pularaaraayappol""",P. Susheela,P. Bhaskaran,,
Mooladhanam,5,"""Swarga Gayike""",K. J. Yesudas,P. Bhaskaran,,
Moonnam Mura,,Magadu,,,,
Moonnu Masangalku Mumbu,,"""Pennundo Ponnaliya""","P. Jayachandran , Unni Menon",,,
Moonnu Masangalku Mumbu,,"""Poyakaalam Pooviricha""",S. Janaki,,,
Moonu Pookkal,1,"""Kanmunayaale Cheettukal""",K. J. Yesudas,P. Bhaskaran,,
Moonu Pookkal,2,"""Onnaanaam Poomarathil""",S. Janaki,P. Bhaskaran,,
Moonu Pookkal,3,"""Sakhee Kunkumamo""","K. J. Yesudas, S. Janaki",P. Bhaskaran,,
Moonu Pookkal,4,"""Thiriyo Thiri Poothiri""",S. Janaki,P. Bhaskaran,,
Moonu Pookkal,5,"""Vinnilirunnurangunna""",P. Jayachandran,P. Bhaskaran,,
Moorkhan,1,"""Aakasha Gangaatheerathu""",K. J. Yesudas,B. Manikyam,,
Moorkhan,2,"""En Kannil Mandaram""","P. Jayachandran , Chorus",B. Manikyam,,
Moorkhan,3,"""Shaarada Sandhyaykku""","K. J. Yesudas, S. Janaki",B. Manikyam,,
Mortuary,1,"""Amritha Sarassile""",K. J. Yesudas,,,
Mortuary,2,"""Niyamangal Oru Bhaagam""",K. J. Yesudas,,,
Mosayile Kuthira Meenukal,,"""Aikbareesa""",Preeti Pillai,,,
Mosayile Kuthira Meenukal,,"""Ishq Kadal""",Preeti Pillai,,,
Mosayile Kuthira Meenukal,,"""Aikbareesa"" (Male version)",Arun Haridas Kamath,,,
Mosayile Kuthira Meenukal,,"""Ilahi""",Prakash Sontake,,,
Mouna Daaham,1,"""Ee Raavil""",Unni Menon,Poovachal Khader,,
Mouna Daaham,2,"""Nillu Nillu Penne""",Unni Menon,Poovachal Khader,,
Mr. Kerala,1,"""Chundil Pushpathaalam""","K. J. Yesudas , P. Susheela",P. Bhaskaran,,
Mr. Kerala,2,"""Evideyo Lakshyam""",K. J. Yesudas,P. Bhaskaran,,
Mr. Kerala,3,"""Hridayamuraliyil""","K. J. Yesudas, P. Susheela",P. Bhaskaran,,
Mr. Kerala,4,"""Kandille Kandille""",P. Susheela,P. Bhaskaran,,
Mr. Kerala,5,"""Kannu Vilikkunnu""",P. Susheela,P. Bhaskaran,,
Mr. Kerala,6,"""Onnu Vanne""","L. R. Eeswari , C. O. Anto",P. Bhaskaran,,
Mr. Micheal,1,"""Vaasantha Mandaanilan""","K. J. Yesudas , S. Janaki",Bichu Thirumala,,
Mr. Micheal,2,"""Veenudanja Veenayil""",K. J. Yesudas,Bichu Thirumala,,
Mr. Micheal,3,"""Naarimani Naadodi""","Jayachandran, Ambili",Yusafali,,
Mr. Micheal,4,"""sangeetha Marathaka Haram""",Janaki,Yusafali,,
Mr. Micheal,5,"""virinja Marlarithal""",Ambili,Yusafali,,
Mucheettukalikkaarante Makal,1,"""Kudukudupaandippennu""",K. J. Yesudas,Vayalar,,
Mucheettukalikkaarante Makal,2,"""Mucheettukalikkana Mizhi""",P. Madhuri,Vayalar,,
Mucheettukalikkaarante Makal,3,"""Muthumethiyadiyitta""",P. Madhuri,Vayalar,,
Mucheettukalikkaarante Makal,4,"""Sangathiyarinjo""","Ayiroor Sadasivan, Manoharan",Vayalar,,
Mudra,,"1. ""Puthumazhayay Pozhiyam""",M.G.Sreekumar,,,
Mudra,,"2. ""Vaanidavum Sagaravum""",M. G. Sreekumar,,,
Mudramothiram,1,"""Bhoomi Nammude Pettamma""","P. Susheela , P. Jayachandran , Chorus",Sreekumaran Thampi,,
Mudramothiram,2,"""Daivathin Veedevide""",K. J. Yesudas,Sreekumaran Thampi,,
Mudramothiram,3,"""Mazhamukil Chithravela""",K. J. Yesudas,Sreekumaran Thampi,,
Mudramothiram,4,"""Pallavi Nee Paadumo""","P. Susheela, P. Madhuri",Sreekumaran Thampi,,
Muhoorthangal,1,"""Muthum Pavizhavum""",Vani Jairam,O. N. V. Kurup,,
Muhoorthangal,2,"""Nenmeni Vaakappoo""","K. J. Yesudas , Chorus",O. N. V. Kurup,,
Muhoorthangal,3,"""Pakalkkili Parannu Poy""",S. Janaki,O. N. V. Kurup,,
Muhoorthangal,4,"""Sarovaram Poo Choodi""",K. J. Yesudas,O. N. V. Kurup,,
Muhurtham Pathnonnu Muppathinu,1,"""Ayyayyo Ammavi""","Vani Jairam , Krishnachandran",Poovachal Khader,,
Muhurtham Pathnonnu Muppathinu,2,"""Nishayude Thaazhvarayil""","K. J. Yesudas , K. S. Chithra",Poovachal Khader,,
Mukha Chithram,,Chembaranthin,,,,5:19
Mukha Chithram,,Ponnavani Vattam,,,,5:42
Mukhangal,1,"""Ilam Kaattin""",K. J. Yesudas,Sathyan Anthikkad,,
Mukhangal,2,"""Maanathu Thaarangal""",K. J. Yesudas,Sathyan Anthikkad,,
Mukkuvane Snehicha Bhootham,1,"""Aazhithiramaalakal""","Vani Jairam , Chorus, Idava Basheer",,,
Mukkuvane Snehicha Bhootham,2,"""Arabikkadalum Ashtamudi""",P. Jayachandran,,,
Mukkuvane Snehicha Bhootham,3,"""Mohangal Madaalasam""",K. J. Yesudas,,,
Mukkuvane Snehicha Bhootham,4,"""Mullappoomanamo""","P. Susheela , P. Jayachandran",,,
Mull Kireedom,1,"""Deva Yeshunaayaka""",Thambi,P. Bhaskaran,,
Mull Kireedom,2,"""Kanakaswapna""",S. Janaki,P. Bhaskaran,,
Mull Kireedom,3,"""Kookaatha Poonkuyile""",Thambi,P. Bhaskaran,,
Mull Kireedom,4,"""Kulikazhinju""",S. Janaki,P. Bhaskaran],,
Munnettam,,"""Chirikondu Pothiyum""",S. P. Balasubrahmanyam,,,
Munnettam,,"""Valakilukkam Oru Valakilukkam""","Vani Jairam , Unni Menon",,,
Muthalali,1,"""Ethu Poovu Choodanam""",S. Janaki,P. Bhaskaran,,
Muthalali,2,"""Kaniyaanum Vannilla""",S. Janaki,P. Bhaskaran,,
Muthalali,3,"""Mullappoothailamittu""","K. J. Yesudas , S. Janaki",P. Bhaskaran,,
Muthalali,4,"""Panineeru Thoovunna""",K. J. Yesudas,P. Bhaskaran,,
Muthalali,5,"""Ponnaara Muthalaali""","S. Janaki, B. Vasantha, Soolamangalam Rajalakshmi",P. Bhaskaran,,
Muthassi,1,"""Harshabaashpam Thooki""",P. Jayachandran,,,
Muthassi,2,"""Meeshakkaaran Keshavanu""","L. R. Anjali, Kousalya, Aruna",,,
Muthassi,3,"""Mullakalinnale""",K. J. Yesudas,,,
Muthassi,4,"""Pambayaarin Panineer Kadavil""",S. Janaki,,,
Muthassi,5,"""Premakaumudi""","K. J. Yesudas, S. Janaki",,,
Muthuchippikal,1,"""Alakayilo""",S. Janaki,A. P. Gopalan,,
Muthuchippikal,2,"""Muthukilungum Cheppaanada""","K. J. Yesudas , Vani Jairam , Chorus",A. P. Gopalan,,
Muthuchippikal,3,"""Nalla Mannennum""","Chorus, Jency , Jolly Abraham",A. P. Gopalan,,
Muthuchippikal,4,"""Ranjini Ranjini""","P. Susheela , P. Jayachandran","A. P. Gopalan, Muringoor Sankara Potti",,
Muthuchippikal,5,"""Thaalikkuruvi Thenkuruvi""",P. Jayachandran,A. P. Gopalan,,
Muttathe Mulla,1,"""Aaromalunnikku""","P. Jayachandran , Ambili , Chorus, Jayashree",Pappanamkodu Lakshmanan,,
Muttathe Mulla,2,"""Happy New Year""",Ambili,Pappanamkodu Lakshmanan,,
Muttathe Mulla,3,"""Manam Poleyano""",K. J. Yesudas,Pappanamkodu Lakshmanan,,
Muttathe Mulla,4,"""Swapangalaadyamaay""",K. J. Yesudas,Pappanamkodu Lakshmanan,,
My Boss,,"""Enthinennariyilla"" (Duet)","P. Jayachandran , Manjari",,M. Jayachandran,4:32
My Boss,,"""Kuttanadan Punchaneele""",Rahul Nambiar & Rimi Tomy,,Sejo John,4:00
My Boss,,"""Vilakkukal Theliyunnu""",Madhu Balakrishnan & Chitra Arun,,,4:50
My Boss,,"""Unaradi Nee""",Sejo John,,Sejo John,2:58
My Boss,,"""Sooryane Kaithodan""",Karthik,,Sejo John,4:51
My Boss,,"""Enthinennariyilla"" (Male)",P. Jayachandran,,M. Jayachandran,4:32
My Boss,,"""Freedom Ka Soniya""","Navraj Hans , Neha Venugopal",,Sejo John,4:15
My Boss,,"""Enthinennariyilla"" (Female)",Manjari,,M. Jayachandran,4:32
My Boss,,"""Freedom Ka Soniya"" (Remix)",Neha Venugopal,,Sejo John,3:37
My Dear Muthachan,1,"""Cheppadikkaaranalla""","C. O. Anto , K. S. Chitra , Minmini , Jancy",,,
My Dear Muthachan,2,"""Raathri Than Kaikalil""","K. S. Chitra , Chorus",,,
My Dear Muthachan,3,"""Randu Poovithal Chundil Virinju""",K. J. Yesudas,,,
Myladum Kunnu,1,"""Eeso Mariyam""",P. Susheela,Vayalar Ramavarma,,
Myladum Kunnu,2,"""Manichikkaatte""","P. Susheela, P. Madhuri",Vayalar Ramavarma,,
Myladum Kunnu,3,"""Paappi Appacha""","C. O. Anto , Latha Raju",Vayalar Ramavarma,,
Myladum Kunnu,4,"""Sandhyamayangum Neram""",K. J. Yesudas,Vayalar Ramavarma,,
Myladum Kunnu,5,"""Thaalikkuruthola""",P. Leela,Vayalar Ramavarma,,
Mylanji,1,"""Alankaara Chamayathaal""","Chorus, Laila Razak",Bappu velliparamb,,
Mylanji,2,"""College Laila""","K. J. Yesudas , Ambili",P. Bhaskaran,,
Mylanji,3,"""Ithuvare Ithuvare""","K. J. Yesudas, Ambili",P. Bhaskaran,,
Mylanji,4,"""Kaalu Manniluraykkaatha""",K. J. Yesudas,P. Bhaskaran,,
Mylanji,5,"""Kokkara Kokkara""","Vilayil Valsala , V. M. Kutty",P. Bhaskaran,,
Mylanji,6,"""Maamalayile""",K. J. Yesudas,P. Bhaskaran,,
Mylanji,7,"""Malarvaaka Poomaaran""","Chorus, Laila Razak",,,
N.G.O,1,"""Kaanan Azhakulloru""","K. J. Yesudas , S. Janaki",P. Bhaskaran,,
N.G.O,2,"""Kasthoorimulla Than""",P. Susheela,P. Bhaskaran,,
N.G.O,3,"""Keshapaashadhritha",P. Leela,,,
N.G.O,4,"""Paampine Pedichu""""","Latha Raju , Zero Babu",P. Bhaskaran,,
N.G.O,5,"""Thottilil""",P. Susheela,P. Bhaskaran,,
NH 47,1,"""Allah Allah Allah""","K. J. Yesudas , Poovachal Khader , C. A. Aboobacker",Poovachal Khader,,
NH 47,2,"""Kannukondu Kessezhuthum""","K. J. Yesudas, Chorus",Poovachal Khader,,
NH 47,3,"""Punnarapoomanimaran""",S. Janaki,Poovachal Khader,,
Naadan Pennu,1,"""Aakashangalirikkum""","P. Susheela , Chorus",Vayalar Ramavarma,,
Naadan Pennu,2,"""Bhoomiyil Mohangal""",K. J. Yesudas,Vayalar Ramavarma,,
Naadan Pennu,3,"""Eeyide Penninoru""",S. Janaki,Vayalar Ramavarma,,
Naadan Pennu,4,"""Himavaahini""",P. Susheela,Vayalar Ramavarma,,
Naadan Pennu,5,"""Himavaahini"" (Bit)",K. J. Yesudas,Vayalar Ramavarma,,
Naadan Pennu,6,"""Himavaahini"" (M)",K. J. Yesudas,Vayalar Ramavarma,,
Naadan Pennu,7,"""Iniyathe Panchami""",P. Susheela,Vayalar Ramavarma,,
Naadan Pennu,8,"""Naadan Premam""","P. Jayachandran , J. M. Raju",Vayalar Ramavarma,,
Naadan Premam,1,"""Cheppum Panthum""",K. J. Yesudas,P. Bhaskaran,,
Naadan Premam,2,"""Kanni Nilaavu""",P. Susheela,P. Bhaskaran,,
Naadan Premam,3,"""Mayangaatha Ravukalil""",L. R. Eeswari,P. Bhaskaran,,
Naadan Premam,4,"""Paaril Sneham""",K. J. Yesudas,P. Bhaskaran,,
Naadan Premam,5,"""Panchaarakkunnine""",K. J. Yesudas,P. Bhaskaran,,
Naadan Premam,6,"""Undanennoru Raajaavinu""",P. Jayachandran,P. Bhaskaran,,
Naale Ennundengil,1,"""Ee Vediyil Oru Raagam""",K. S. Chithra,Chunakkara Ramankutty,,
Naale Ennundengil,2,"""Raathrigandhi Nananju""","K. J. Yesudas , Lathika",Chunakkara Ramankutty,,
Naale Njangalude Vivaham,1,"""Aalippazham""","K. S. Chithra , Chorus",Chunakkara Ramankutty,,
Naale Njangalude Vivaham,2,"""Maadhavamaasam""",K. J. Yesudas,Chunakkara Ramankutty,,
Naalkavala,1,"""Kinaavu Neyyum""",K. S. Chithra,Yusufali Kechery,,
Naalkavala,2,"""Muthukkudangale"" (Vellinilaavoru)","K. S. Chithra, Chorus, C. O. Anto , Krishnachandran",Yusufali Kechery,,
Naalkavala,3,"""Vellinilaavoru""",K. S. Chithra,Yusufali Kechery,,
Naalumanippookkal,1,"""Aaro Paadi""",K. J. Yesudas,Bichu Thirumala,,
Naalumanippookkal,2,"""Ambambo Jeevikkan""","C. O. Anto , Kottayam Santha",Bichu Thirumala,,
Naalumanippookkal,3,"""Chandanappoonthennal""",P. Madhuri,Bichu Thirumala,,
Naalumanippookkal,4,"""Chandanappoonthennal""",P. Susheela,Bichu Thirumala,,
Naalumanippookkal,5,"""Pulariyum Pookkalum""",P. Madhuri,Bichu Thirumala,,
Naavadakku Paniyedukku,1,"""Archana Cheytheedaam""",K. J. Yesudas,Mavelikkara Devamma,,
Naavadakku Paniyedukku,2,"""Kaithozhaam""",Ambili,Mavelikkara Devamma,,
Naavadakku Paniyedukku,3,"""Saaradhi Njangade""","Chorus, C. O. Anto",Mavelikkara Devamma,,
Naayattu,1,"""Enne Njan Marannu""","S. Janaki , Jolly Abraham",Sreekumaran Thampi,,
Naayattu,2,"""Kaalame Kaalame Kanakathil""",K. J. Yesudas,Sreekumaran Thampi,,
Naayattu,3,"""Kannilkkannil Nokkiyirikkam""","P. Jayachandran , Vani Jairam",Sreekumaran Thampi,,
Naayattu,4,"""Parimalakulir""",K. J. Yesudas,Sreekumaran Thampi,,
Naayika,1,"""Kasthuri Manakkunnallo""",K. J. Yesudas,,,
Naayika,2,"""Nanayum Nin Mizhiyoram""","P. Jayachandran , Sujatha Mohan",,,
Naayika,3,"""Nanayum Nin Mizhiyoram(M)""",P. Jayachandran,,,
Naayika,4,"""Nilavu Pol Oru Amma""",K. S. Chitra,,,
Naayika,5,"""Pazhayoru Rajani Than""","K. J. Yesudas , K. S. Chitra",,,
Nadan,,"""Ethu Sundara""",Shweta Mohan,Prabha Varma,,
Nadan,,"""Moolivarunna""","G. Sreeram, Mridula Warrier",Madhu Vasudevan,,
Nadan,,"""Ottaykku Paadunna""",Vaikom Vijayalakshmi,Madhu Vasudevan,,
Nadan,,"""Sargavedhikale""","Sharath, Praveen, Rahul R. Nath, Lekshmi Priya",Madhu Vasudevan,,
Nadan,,"""Ethu Sundara""",Najim Arshad,Prabha Varma,,
Nadan,,"""Ottaykku Paadunna""",Nishad,Madhu Vasudevan,,
Nadan,,"""Ottaykku Paadunna"" (Violin)",Bhavya Lakshmi,,,
Nadan Pennum Natupramaniyum,1,"""Aalolam Ponnoonjalaadi""",Sreenivas,S. Ramesan Nair,,
Nadan Pennum Natupramaniyum,2,"""Aathirathumbiye""",Santhosh Keshav,S. Ramesan Nair,,
Nadan Pennum Natupramaniyum,3,"""Ilamanassin""",Chorus,S. Ramesan Nair,,
Nadan Pennum Natupramaniyum,4,"""Madhuramee Sangamam"" (D)","K. J. Yesudas , K. S. Chithra",S. Ramesan Nair,,
Nadan Pennum Natupramaniyum,5,"""Madhuramee Sangamam"" (D)","K. S. Chithra, Santhosh Keshav",S. Ramesan Nair,,
Nadan Pennum Natupramaniyum,6,"""Madhuramee Sangamam"" (F)",K. S. Chithra,S. Ramesan Nair,,
Nadan Pennum Natupramaniyum,7,"""Mayilaadum Kunninmel""","Santhosh Keshav, Gopika Poornima",S. Ramesan Nair,,
Nadan Pennum Natupramaniyum,8,"""Minnum Ponnurukki Theerthu""",K. J. Yesudas,S. Ramesan Nair,,
Nadan Pennum Natupramaniyum,9,"""Sneham Thalirilakalil""",Santhosh Keshav,S. Ramesan Nair,,
Nadeenadanmare Avasyamundu,1,"""Chanchalamizhi""","K. P. Brahmanandan , Gopalakrishnan",Vayalar Ramavarma,,
Nadeenadanmare Avasyamundu,2,"""Chendumalli""",P. Susheela,Vayalar Ramavarma,,
Nadeenadanmare Avasyamundu,3,"""Paahi Jagadambike""","K. P. Brahmanandan, Kumari Rajalakshmi",Vayalar Ramavarma,,
Nadeenadanmare Avasyamundu,4,"""Pacha Nellikka""","P. Jayachandran , Kasthoori, Gopalakrishnan",Vayalar Ramavarma,,
Nadeenadanmare Avasyamundu,5,"""Sumukhi Sundari""",K. J. Yesudas,Vayalar Ramavarma,,
Nadeenadanmare Avasyamundu,6,"""Vrindaavanam Ithu""","K. J. Yesudas, Chorus",Vayalar Ramavarma,,
Nadhi,1,"""Aayiram Paadasarangal""",K. J. Yesudas,Vayalar Ramavarma,,
Nadhi,2,"""Innee Vaasamenikkilla"" (Bit)",C. O. Anto,Vayalar Ramavarma,,
Nadhi,3,"""Kaayaampoo"" (Bit)",K. J. Yesudas,Vayalar Ramavarma,,
Nadhi,4,"""Kaayaampoo Kannil""",K. J. Yesudas,Vayalar Ramavarma,,
Nadhi,5,"""Nithyavishudhayaam""","K. J. Yesudas, Chorus",Vayalar Ramavarma,,
Nadhi,6,"""Panchathanthram Kadhayile""",P. Susheela,Vayalar Ramavarma,,
Nadhi,7,"""Puzhakal Malakal""",K. J. Yesudas,Vayalar Ramavarma,,
Nadhi,8,"""Thappukottaampuram""","P. Susheela, Chorus",Vayalar Ramavarma,,
